id, x, y, freq, label
565, -45.588802, -35.351440, 32, subsequent
566, -1.266061, -10.852073, 866, men
567, 9.135405, -17.692839, 86, showed
568, -18.498634, 55.014996, 12, inevitable
569, 39.200470, 15.067150, 4, rejection
570, -41.844799, -27.711678, 28, clerk
571, 15.736262, -10.955770, 196, simply
572, -14.720675, -14.207947, 92, human
573, 50.485317, 31.269510, 6, beings
574, -54.655449, -41.437939, 34, happen
575, 15.638520, -6.589688, 274, get
576, -2.771020, -58.489861, 56, married
577, -21.408155, -59.704384, 42, denied
578, -56.803143, -28.711529, 18, sued
579, 45.758457, -50.337860, 6, wiggle
580, -14.411873, -25.327326, 432, court
581, -41.757183, -15.438777, 32, appeals
582, -53.714298, 36.972847, 14, construct
583, -48.772911, -48.397854, 30, defined
584, -66.581497, 2.994917, 22, procreation
585, 14.559597, -11.479421, 136, children
586, 8.459603, -9.322197, 148, added
587, -67.648506, -22.641329, 30, prohibition
588, -7.405002, -50.569740, 42, couples
589, -49.476482, -39.234543, 32, results
590, -22.902714, 60.429379, 12, logic
591, 14.814433, -12.470154, 126, perhaps
592, -48.341293, -40.697617, 22, eighteenth
593, -45.340145, -47.822948, 10, nineteenth
594, -62.333378, -27.927185, 26, forms
595, -27.302099, 49.401054, 8, arranged
596, -6.970874, -25.621469, 90, control
597, -34.058495, -56.698601, 32, property
598, -44.824986, -50.608837, 28, replaced
599, -68.019676, 20.853672, 14, twentieth
600, -56.997868, -28.897028, 14, ideal
601, -48.991596, -23.615080, 16, emphasized
602, -2.729275, -61.072037, 36, romantic
603, 19.080429, -8.284450, 612, people
604, 69.044853, -11.054586, 6, regard
605, 20.747534, 59.715523, 12, afterward
606, -24.047560, 40.045074, 20, journey
607, 5.045596, -21.449377, 84, toward
608, 47.663128, -13.864196, 10, accommodations
609, -11.585490, -15.792765, 88, openly
610, 18.884008, -7.754508, 530, like
611, 14.970191, -16.637278, 106, everyone
612, 6.932246, -51.695255, 54, else
613, 12.891125, -33.648090, 98, care
614, -48.939327, -52.481346, 44, build
615, -3.526935, -11.266796, 180, groups
616, -12.558094, 53.329521, 10, isolation
617, 2.768957, -40.677227, 82, create
618, -6.658076, -42.184975, 64, businesses
619, 14.832240, 58.748501, 10, cope
620, 10.843870, -10.634116, 210, change
621, 54.033806, -13.274819, 6, minds
622, 1.254090, -22.582253, 84, churches
623, -6.156064, -59.878441, 36, cast
624, -49.661728, 44.478134, 12, aside
625, -30.146990, -63.579735, 34, seek
626, -0.363527, -51.616226, 38, equality
627, -65.795097, -23.476240, 22, nation
628, 5.197403, -21.048069, 80, military
629, -0.661203, -12.672077, 314, many
630, 18.285711, -8.127844, 678, even
631, 11.894115, -34.856655, 86, quite
632, 46.436268, -12.502919, 4, individually
633, 3.903881, -23.953434, 70, individual
634, 3.241752, -9.766671, 144, job
635, 12.161170, -10.699662, 114, able
636, -42.438416, -29.896544, 32, rent
637, -53.607727, -39.579330, 32, apartment
638, -15.489218, 54.829739, 10, needing
639, -55.766888, 2.872027, 16, access
640, 26.812332, 23.770334, 12, recognition
641, 60.151966, -41.487629, 6, rela
642, 18.753963, -7.875515, 454, another
643, -0.232320, -52.160633, 60, matter
644, 14.778331, -14.159822, 142, something
645, -65.825249, -18.767334, 18, reminded
646, -7.174313, -26.014591, 138, passed
647, -13.257392, -59.385391, 44, defense
648, 9.758393, -24.048975, 138, put
649, 53.377190, 31.253046, 10, dictated
650, 8.194061, -14.825872, 106, turn
651, -12.706095, -6.412327, 122, progress
652, -2.704361, -13.835160, 164, begun
653, 14.534766, -17.828781, 94, feel
654, -1.720339, -46.423557, 50, supported
655, 14.367644, -10.240034, 182, heterosexual
656, 10.712419, -30.626860, 114, friends
657, -51.477440, -49.668827, 26, accepted
658, 12.842151, -11.228462, 144, within
659, 10.800492, -36.840538, 70, kept
660, 14.055142, -8.447098, 222, family
661, -37.785366, -43.517414, 36, acceptance
662, -3.974380, -50.355793, 54, significant
663, 12.996640, -7.855664, 304, seemed
664, -30.024078, -60.363045, 72, ones
665, 11.354381, -7.793876, 160, often
666, 4.953816, -23.944902, 72, fear
667, -30.519463, -63.394165, 42, partners
668, 17.683920, -9.653925, 334, wanted
669, 60.030399, 24.401682, 6, household
670, -20.492064, -48.955467, 36, organizers
671, 53.362968, -7.806507, 10, commented
672, 12.714779, -14.585635, 192, never
673, -5.667831, -56.386433, 60, heard
674, 10.010406, -18.585161, 92, mother
675, 59.972538, -0.329143, 10, grasp
676, 7.593712, 34.942013, 12, concept
677, 3.233243, -25.834463, 64, strong
678, -24.111746, -63.363293, 40, sat
679, -34.695488, 38.744789, 14, completely
